day,hour,minute,second,microsecond,baro pressure hpa,acc x,acc y,acc z,gryo x,gryo y,gryo z,humidity,temperature,Ox pressure(psi),Voltage,altitude(meters)
14,13,13,0,81783670,875.7423,9.667787,0.80924,-0.1245,-0.01519,0.015721,0.017054,16.27833,45.57221,4.223633,0.510559,1213.232
14,13,13,1,81784054,875.7,9.667787,0.80924,-0.1245,-0.02585,0.017853,0.014922,16.26154,45.57221,3.979492,0.509949,1213.628
14,13,13,1,81784394,875.558,9.662998,0.866701,-0.10535,-0.02078,0.02638,0.009859,16.24476,45.57221,3.613281,0.509033,1214.96
14,13,13,1,81784734,875.6005,9.662998,0.866701,-0.10535,-0.01119,0.014922,0.018652,16.23713,45.57221,3.369141,0.508423,1214.561
14,13,13,2,81785119,875.701,9.662998,0.866701,-0.10535,-0.01306,0.013856,0.011991,16.22034,45.57221,4.467773,0.511169,1213.62
14,13,13,2,81785459,875.7499,9.734824,0.78051,-0.09098,-0.00826,0.016254,0.014389,16.18525,45.57221,0.683594,0.501709,1213.163
14,13,13,2,81785799,875.6966,9.734824,0.78051,-0.09098,-0.01279,0.025847,0.013856,16.18525,45.57221,3.735352,0.509338,1213.662
14,13,13,3,81786142,875.6588,9.734824,0.78051,-0.09098,-0.01332,0.019985,0.010658,16.17762,45.57221,4.101562,0.510254,1214.014
14,13,13,3,81786482,875.7135,9.634268,0.756568,0.02873,-0.0056,0.022649,0.007994,16.16083,45.59358,4.101562,0.510254,1213.501
14,13,13,4,81786822,875.7589,9.634268,0.756568,0.02873,-0.01386,0.02638,0.016521,16.14252,45.57221,4.956055,0.51239,1213.076
14,13,13,4,81787164,875.624,9.672575,0.823605,-0.11971,0.005596,0.016254,0.018919,16.12573,45.57221,4.101562,0.510254,1214.341
14,13,13,4,81787504,875.6381,9.672575,0.823605,-0.11971,-0.00826,0.022649,0.011991,16.10895,45.57221,3.979492,0.509949,1214.209
14,13,13,5,81787844,875.6787,9.672575,0.823605,-0.11971,0.000266,0.020784,0.023182,16.10132,45.57221,3.979492,0.509949,1213.829
14,13,13,5,81788184,875.6378,9.639056,0.814029,-0.07183,-0.00719,0.018386,0.01732,16.08454,45.57221,4.345703,0.510864,1214.212
14,13,13,5,81788534,875.6848,9.639056,0.814029,-0.07183,-0.01759,0.03011,0.008793,16.07538,45.57221,4.223633,0.510559,1213.771
14,13,13,6,81788874,875.6661,9.639056,0.814029,-0.07183,-0.01599,0.020251,0.011191,16.0586,45.57221,3.979492,0.509949,1213.948
14,13,13,6,81789214,875.6708,9.691729,0.80924,-0.04788,-0.00133,0.023982,0.000799,16.06012,45.59358,4.345703,0.510864,1213.903
14,13,13,6,81789557,875.6259,9.691729,0.80924,-0.04788,-0.0032,0.023449,0.019985,16.04944,45.57221,4.467773,0.511169,1214.323
14,13,13,7,81789897,875.6825,9.639056,0.785298,-0.06704,-0.01093,0.014389,0.011458,16.03265,45.57221,4.711914,0.51178,1213.792
14,13,13,7,81790237,875.6727,9.639056,0.785298,-0.06704,-0.00586,0.028778,0.008527,16.04181,45.59358,3.735352,0.509338,1213.884
14,13,13,7,81790580,875.6957,9.639056,0.785298,-0.06704,0.00373,0.027712,0.004796,16.03113,45.55085,3.735352,0.509338,1213.67
14,13,13,8,81790920,875.6596,9.672575,0.804452,-0.11492,-0.0064,0.023449,0.010925,16.02503,45.57221,3.857422,0.509644,1214.008
14,13,13,8,81791260,875.6768,9.672575,0.804452,-0.11492,-0.02212,0.025314,0.011991,16.02503,45.57221,4.467773,0.511169,1213.847
14,13,13,8,81791600,875.7057,9.672575,0.804452,-0.11492,-0.02052,0.021583,0.018652,16.01587,45.57221,3.491211,0.508728,1213.575
14,13,13,9,81791943,875.6635,9.696517,0.761356,-0.02394,-0.00773,0.018652,0.015988,16.02503,45.57221,4.223633,0.510559,1213.971
14,13,13,9,81792283,875.6185,9.696517,0.761356,-0.02394,-0.00826,0.011991,0.009859,16.03265,45.57221,3.979492,0.509949,1214.392
14,13,13,9,81792623,875.7238,9.653421,0.746991,-0.03831,-0.01999,0.030377,0.010658,16.02503,45.59358,4.345703,0.510864,1213.406
14,13,13,10,81792973,875.7336,9.653421,0.746991,-0.03831,-0.01519,0.019985,0.011991,16.03418,45.59358,3.979492,0.509949,1213.313
14,13,13,10,81793313,875.7147,9.653421,0.746991,-0.03831,-0.01412,0.021051,0.006395,16.03265,45.57221,4.711914,0.51178,1213.49
14,13,13,10,81793653,875.6768,9.744401,0.785298,0.009577,-0.00959,0.025314,0.016521,16.01587,45.57221,4.223633,0.510559,1213.847
14,13,13,11,81793996,875.6822,9.744401,0.785298,0.009577,-0.00453,0.023715,0.015721,16.02503,45.57221,4.223633,0.510559,1213.797
14,13,13,11,81794336,875.7416,9.744401,0.785298,0.009577,-0.00959,0.024248,0.010392,16.02503,45.57221,4.345703,0.510864,1213.24
14,13,13,11,81794676,875.7394,9.672575,0.866701,-0.07661,-0.0056,0.017587,0.01359,16.02503,45.57221,4.101562,0.510254,1213.261
14,13,13,12,81795016,875.7144,9.672575,0.866701,-0.07661,-0.00293,0.018119,0.013323,16.03418,45.59358,4.833984,0.512085,1213.493
14,13,13,12,81795359,875.7004,9.710882,0.80924,0.014365,-0.01013,0.022116,0.010658,16.04944,45.57221,5.566406,0.513916,1213.625
14,13,13,12,81795699,875.6588,9.710882,0.80924,0.014365,-0.01146,0.020784,0.009326,16.07538,45.57221,4.223633,0.510559,1214.014
14,13,13,13,81796039,875.6812,9.710882,0.80924,0.014365,-0.01146,0.023182,0.018119,16.09522,45.61494,4.345703,0.510864,1213.805
14,13,13,13,81796382,875.6954,9.725247,0.842759,-0.11492,-0.01572,0.02638,0.013323,16.10132,45.59358,4.345703,0.510864,1213.67
14,13,13,13,81796722,875.7259,9.725247,0.842759,-0.11492,-0.00693,0.015455,0.013057,16.10895,45.57221,3.857422,0.509644,1213.387
14,13,13,14,81797062,875.7549,9.65821,0.723049,-0.0431,0.002665,0.015455,0.007461,16.11811,45.57221,3.369141,0.508423,1213.115
14,13,13,14,81797412,875.6835,9.65821,0.723049,-0.0431,-0.01439,0.02558,0.01279,16.12573,45.57221,4.956055,0.51239,1213.784
14,13,13,14,81797752,875.7004,9.65821,0.723049,-0.0431,-0.01785,0.018386,0.012524,16.12573,45.57221,3.613281,0.509033,1213.625
14,13,13,15,81798092,875.7983,9.701305,0.885855,-0.00958,-0.02158,0.009326,0.018386,16.12726,45.59358,3.735352,0.509338,1212.708
14,13,13,15,81798432,875.6834,9.701305,0.885855,-0.00958,-0.02105,0.020784,0.012257,16.11963,45.59358,3.979492,0.509949,1213.784
